B_Code,,,,,,
代码,名称,类型,公司,交易所,净值标识,生效
150265,一带A,指数分级A,中融基金,SZ,OF,1
150266,一带B,指数分级B,中融基金,SZ,OF,1
168201,一带一路,指数分级,中融基金,SZ,OF,1
150273,带路A,指数分级A,鹏华基金,SZ,OF,1
150274,带路B,指数分级B,鹏华基金,SZ,OF,1
160638,带路分级,指数分级,鹏华基金,,OF,1
150251,煤炭A,指数分级A,招商基金,SZ,OF,1
150252,煤炭B,指数分级B,招商基金,SZ,OF,1
161724,煤炭分级,指数分级,招商基金,,OF,1
150225,证保A级,指数分级A,博时基金,SZ,OF,1
150226,证保B级,指数分级B,博时基金,SZ,OF,1
160516,博时证保,指数分级,博时基金,,OF,1
150249,银行A端,指数分级A,招商基金,SZ,OF,1
150250,银行B端,指数分级B,招商基金,SZ,OF,1
161723,银行基金,指数分级,招商基金,,OF,1
150231,电子A,指数分级A,申万,SZ,OF,1
150232,电子B,指数分级B,申万,SZ,OF,1
163116,申万电子,指数分级,申万,,OF,1
150247,传媒A级,指数分级A,工银瑞信,SZ,OF,1
150248,传媒B级,指数分级B,工银瑞信,SZ,OF,1
164818,传媒母鸡,指数分级,工银瑞信,,OF,1
150269,白酒A,指数分级A,招商基金,SZ,OF,1
150270,白酒B,指数分级B,招商基金,SZ,OF,1
161725,白酒分级,指数分级,招商基金,,OF,1
150271,生物药A,指数分级A,招商基金,SZ,OF,1
150272,生物药B,指数分级B,招商基金,SZ,OF,1
161726,生物医药,指数分级,招商基金,,OF,1
150277,高铁A,指数分级A,鹏华基金,SZ,OF,1
150278,高铁B,指数分级B,鹏华基金,SZ,OF,1
160639,高铁分级,指数分级,鹏华基金,,OF,1
150279,新能A,指数分级A,鹏华基金,SZ,OF,1
150280,新能B,指数分级B,鹏华基金,SZ,OF,1
160640,新能源,指数分级,鹏华基金,,OF,1
502021,国金50A,指数分级A,国金通用,SH,OF,1
502022,国金50B,指数分级B,国金通用,SH,OF,1
502020,国金50,指数分级,国金通用,SH,OF,1
150261,医疗A,指数分级A,华宝兴业,SZ,OF,1
150262,医疗B,指数分级B,华宝兴业,SZ,OF,1
162412,华宝医疗,指数分级,华宝兴业,,OF,1
502014,一带一A,指数分级A,长盛基金,SH,OF,1
502015,一带一B,指数分级B,长盛基金,SH,OF,1
502013,一带一路,指数分级,长盛基金,SH,OF,1
150233,传媒业A,指数分级A,申万菱信,SZ,OF,1
150234,传媒业B,指数分级B,申万菱信,SZ,OF,1
163117,申万传媒,指数分级,申万菱信,,OF,1
150255,银行业A,指数分级A,易方达,SZ,OF,1
150256,银行业B,指数分级B,易方达,SZ,OF,1
150257,生物A,指数分级A,易方达,SZ,OF,1
150258,生物B,指数分级B,易方达,SZ,OF,1
161121,银行业,指数分级,易方达,,OF,1
161122,生物分级,指数分级,易方达,,OF,1
150259,重组A,指数分级A,易方达,SZ,OF,1
150260,重组B,指数分级B,易方达,SZ,OF,1
161123,重组分级,指数分级,易方达,,OF,1
150291,银行A份,指数分级A,中融基金,SZ,OF,1
150292,银行B份,指数分级B,中融基金,SZ,OF,1
168205,银行母鸡,指数分级,中融基金,,OF,1
150295,改革A,指数分级A,南方基金,SZ,OF,1
150296,改革B,指数分级B,南方基金,SZ,OF,1
160136,改革基金,指数分级,南方基金,,OF,1
150263,1000A,指数分级A,华宝兴业,SZ,OF,1
150264,1000B,指数分级B,华宝兴业,SZ,OF,1
162413,1000分级,指数分级,华宝兴业,,OF,1
150267,银行A类,指数分级A,博时基金,SZ,OF,1
150268,银行B类,指数分级B,博时基金,SZ,OF,1
160517,博时银行,指数分级,博时基金,,OF,1
150299,银行股A,指数分级A,华安基金,SZ,OF,1
150300,银行股B,指数分级B,华安基金,SZ,OF,1
160418,银行股基,指数分级,华安基金,,OF,1
150301,证券股A,指数分级A,华安基金,SZ,OF,1
150302,证券股B,指数分级B,华安基金,SZ,OF,1
160419,证券股基,指数分级,华安基金,,OF,1
150293,高铁A级,指数分级A,南方基金,SZ,OF,1
150294,高铁B级,指数分级B,南方基金,SZ,OF,1
160135,高铁基金,指数分级,南方基金,,OF,1
150315,工业4A,指数分级A,富国基金,SZ,OF,1
150316,工业4B,指数分级B,富国基金,SZ,OF,1
161031,工业4,指数分级,富国基金,,OF,1
502006,国企改革,指数分级,易方达,SH,OF,1
502007,国企改A,指数分级A,易方达,SH,OF,1
502008,国企改B,指数分级B,易方达,SH,OF,1
150237,环保A级,指数分级A,鹏华基金,SZ,OF,1
150238,环保B级,指数分级B,鹏华基金,SZ,OF,1
160634,环保分级,指数分级,鹏华基金,,OF,1
150245,互联A,指数分级A,鹏华基金,SZ,OF,1
150246,互联B,指数分级B,鹏华基金,SZ,OF,1
160636,互联网,指数分级,鹏华基金,,OF,1
150281,金融地A,指数分级A,长盛基金,SZ,OF,1
150282,金融地B,指数分级B,长盛基金,SZ,OF,1
160814,金融地产,指数分级,长盛基金,,OF,1
150287,钢铁 A,指数分级A,中融基金,SZ,OF,1
150288,钢铁 B,指数分级B,中融基金,SZ,OF,1
168203,中融钢铁,指数分级,中融基金,,OF,1
150321,煤炭A基,指数分级A,富国基金,SZ,OF,1
150322,煤炭B基,指数分级B,富国基金,SZ,OF,1
161032,富国煤炭,指数分级,富国基金,,OF,1
150289,煤炭A级,指数分级A,中融基金,SZ,OF,1
150290,煤炭B级,指数分级B,中融基金,SZ,OF,1
168204,中融煤炭,指数分级,中融基金,,OF,1
150243,创业 A,指数分级A,鹏华基金,SZ,OF,1
150244,创业B,指数分级B,鹏华基金,SZ,OF,1
160637,鹏华创业板,指数分级,鹏华基金,,OF,1
150307,体育A,指数分级A,富国基金,SZ,OF,1
150308,体育B,指数分级B,富国基金,SZ,OF,1
161030,富国体育,指数分级,富国基金,,OF,1
150283,SW医药A,指数分级A,申万,SZ,OF,1
150284,SW医药B,指数分级B,申万,SZ,OF,1
163118,医药生物,指数分级,申万,,OF,1
502037,网金A,指数分级A,大成基金,SH,OF,1
502038,网金B,指数分级B,大成基金,SH,OF,1
502036,互联金融,指数分级,大成基金,SH,OF,1
150317,E 金融A,指数分级A,交银施罗德,SZ,OF,1
150318,E 金融B,指数分级B,交银施罗德,SZ,OF,1
164907,E 金融,指数分级,交银施罗德,,OF,1
150305,养老A,指数分级A,国寿安保,SZ,OF,1
150306,养老B,指数分级B,国寿安保,SZ,OF,1
168001,国寿养老,指数分级,国寿安保,,OF,1
150297,互联A级,指数分级A,南方基金,SZ,OF,1
150298,互联B级,指数分级B,南方基金,SZ,OF,1
160137,南方互联网,指数分级,南方基金,,OF,1
150335,军工股A,指数分级A,融通基金,SZ,OF,1
150336,军工股B,指数分级B,融通基金,SZ,OF,1
161628,融通军工,指数分级,融通基金,,OF,1
150309,信息安A,指数分级A,信诚基金,SZ,OF,1
150310,信息安B,指数分级B,信诚基金,SZ,OF,1
165523,信息安全,指数分级,信诚基金,,OF,1
150311,智能A,指数分级A,信诚基金,SZ,OF,1
150312,智能B,指数分级B,信诚基金,SZ,OF,1
165524,智能家居,指数分级,信诚基金,,OF,1
150303,创业50A,指数分级A,华安基金,SZ,OF,1
150304,创业50B,指数分级B,华安基金,SZ,OF,1
160420,创业50,指数分级,华安基金,,OF,1
502004,军工A,指数分级A,易方达,SH,OF,1
502005,军工B,指数分级B,易方达,SH,OF,1
502003,军工分级,指数分级,易方达,SH,OF,1
502011,证券A,指数分级A,易方达,SH,OF,1
502012,证券B,指数分级B,易方达,SH,OF,1
502010,证券分级,指数分级,易方达,SH,OF,1
150323,环保A端,指数分级A,工银瑞信,SZ,OF,1
150324,环保B端,指数分级B,工银瑞信,SZ,OF,1
164819,工银环保,指数分级,工银瑞信,,OF,1
502057,医疗A,指数分级A,广发基金,SH,OF,1
502058,医疗B,指数分级B,广发基金,SH,OF,1
502056,广发医疗,指数分级,广发基金,SH,OF,1
150327,新能A级,指数分级A,工银瑞信,SZ,OF,1
150328,新能B级,指数分级B,工银瑞信,SZ,OF,1
164821,工银新能,指数分级,工银瑞信,,OF,1
150343,证券A端,指数分级A,融通基金,SZ,OF,1
150344,证券B端,指数分级B,融通基金,SZ,OF,1
161629,融通证券,指数分级,融通基金,,OF,1
150325,高铁A端,指数分级A,工银瑞信,SZ,OF,1
150326,高铁B端,指数分级B,工银瑞信,SZ,OF,1
164820,工银高铁,指数分级,工银瑞信,,OF,1
502031,高铁A,指数分级A,中海基金,SH,OF,1
502032,高铁B,指数分级B,中海基金,SH,OF,1
502030,中海高铁,指数分级,中海基金,SH,OF,1
150331,网金融A,指数分级A,建信基金,SZ,OF,1
150332,网金融B,指数分级B,建信基金,SZ,OF,1
165315,网金融,指数分级,建信基金,,OF,1
150329,保险A,指数分级A,方正富邦,SZ,OF,1
150330,保险B,指数分级B,方正富邦,SZ,OF,1
167301,保险分级,指数分级,方正富邦,,OF,1
601169,北京银行,股票,,SH,,1
601318,中国平安,股票,,SH,,1
502041,上50A,指数分级A,长盛基金,SH,OF,1
502042,上50B,指数分级B,长盛基金,SH,OF,1
502040,上50分级,指数分级,长盛基金,SH,OF,1
502054,券商A,指数分级A,长盛基金,SH,OF,1
502055,券商B,指数分级B,长盛基金,SH,OF,1
502053,券商分级,指数分级,长盛基金,SH,OF,1
502024,钢铁A,指数分级A,鹏华基金,SH,OF,1
502025,钢铁B,指数分级B,鹏华基金,SH,OF,1
502023,钢铁分级,指数分级,鹏华基金,SH,OF,1
502027,新丝路A,指数分级A,鹏华基金,SH,OF,1
502028,新丝路B,指数分级B,鹏华基金,SH,OF,1
502026,新丝路分级,指数分级,鹏华基金,SH,OF,1
502017,带路A,指数分级A,长信基金,SH,OF,1
502018,带路B,指数分级B,长信基金,SH,OF,1
502016,带路分级,指数分级,长信基金,,OF,1
161227,深100,指数LOF,国投瑞银,SZ,OF,1
169102,东证睿阳,封闭基金,东方证券,SZ,OF,1
159920,恒生ETF,ETF,华夏基金,SZ,OF,1
600196,复兴医药,股票,,SH,,1
510500,500ETF,ETF,南方基金,SH,OF,1
510660,医药行业,ETF,华夏基金,SH,OF,1
184801,鹏华前海,REITs,鹏华基金,SZ,OF,1
600886,国投电力,股票,,SH,,1
000001,平安银行,股票,,SZ,,1
601398,工商银行,股票,,SH,,1
600674,川投能源,股票,,SH,,1
601818,光大银行,股票,,SH,,1
000917,电广传媒,股票,,SZ,,1
601939,建设银行,股票,,SH,,1
501021,香港中小,QDII-LOF,华宝兴业,SH,OF,1
002304,洋河股份,股票,,SZ,,1
600197,伊力特,股票,,SH,,1
501018,南方原油,QDII_LOF,南方基金,SH,,1
600315,上海家化,股票,,SH,,1
601166,兴业银行,股票,,SH,,1
